"Floyd Warshall","Improved Relaxation Floyd Warshall","Improved Selection Floyd Warshall","Johnson","Dijkstra |V| Times"
320500,176800,269601,227799,184901
8971799,813301,2436001,2960499,803800
18513600,3058300,11867601,2550501,2181699
58674801,1334100,3361600,2108800,3519301
34537700,1930999,4919600,1977499,856200
71282900,1306501,1989401,2812400,729899
119421601,1573200,2474001,2468500,850901
198627299,2118500,3758200,3566500,1182600
276052800,2681201,4606101,4515399,1486300
416000100,6606900,6443000,5658701,1882800
