"V","Floyd Warshall","Improved Relaxation Floyd Warshall","Improved Selection Floyd Warshall","Johnson","Dijkstra |V| Times"
20,14700,75200,79000,105200,94100
100,728700,9224900,6990800,3258400,2651000
200,4704900,57065500,43998900,13617500,12352400
300,14157200,216228200,151697800,42235000,49889000
400,31088800,497381900,367008400,89716700,56504100
500,59884100,1063518100,761263500,109802000,97627600
600,110323000,1736838400,1331889600,175171000,146500600
700,156645300,2614622300,2039153000,221538100,215038700
800,225156200,3924963500,3155541500,300479900,290053700
900,327398700,5488602800,4454524600,382564300,348567100
1024,476666400,8341290600,7092434600,643434000,604848900
269,10372700,160895800,118294200,30762500,24146400
684,149170100,2509300600,2058264500,240366400,235136300
872,349528800,5503698200,4379855500,368202900,328233300
865,322144400,5195123200,4111341200,394718800,347883900
217,16015800,158313800,96275900,19595000,14356700
443,38690600,667497600,535301900,85689600,87252700
682,125892400,2524239800,1988425500,222695600,213982800
310,14067900,290183200,269663200,37642200,32484500
356,24511300,344407100,300730600,52568600,44862100
20,16200,93000,86600,104700,91900
129,1402100,15845000,12997400,5791200,6345500
113,967200,10447200,8954600,4570700,3545000
543,85305000,1189419500,1009075600,148207700,154819100
448,39724100,726399200,575030800,82519100,75316400
568,78833500,1375545000,1121522800,140658900,126074300
204,5003900,59030200,46364300,15082300,14794400
63,246600,1844000,1539000,1113600,974700
65,232900,2345100,1898700,1231200,1023300
212,5187600,95501500,54299800,15524600,14554400
